books,authors,movies,released_year,imdb_links
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pinocchio and the Emperor of the Night,1987,https://www.imdb.com/title/tt0093743/
"The Adventures of Pinocchio (1883),", Carlo Collodi,964 Pinocchio,1991,https://www.imdb.com/title/tt0225009/
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pinocchio's Revenge,1996,https://www.imdb.com/title/tt0117342/
"The Adventures of Pinocchio (1883),", Carlo Collodi,Geppetto,2000,https://www.imdb.com/character/ch0028761/
"The Adventures of Pinocchio (1883),", Carlo Collodi,A.I. Artificial Intelligence,2001,https://www.imdb.com/title/tt0212720/
"The Adventures of Pinocchio (1883),", Carlo Collodi,A Tree of Palme,2002,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=928
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pinocchio 3000,2004,https://www.imdb.com/title/tt0332318/
"The Adventures of Pinocchio (1883),", Carlo Collodi,Pistachio – The Little Boy That Woodn't,2010,
The Adventures of Sherlock Holmes (1891–1892) (series) (1892) (novel),", Arthur Conan Doyle",Adventures of Sherlock Holmes; or,,
The Adventures of Sherlock Holmes (1891–1892) (series) (1892) (novel),", Arthur Conan Doyle",Held for Ransom,1905,
The Adventures of Sherlock Holmes (1891–1892) (series) (1892) (novel),", Arthur Conan Doyle",The Adventures of Sherlock Holmes,1921,https://en.wikisource.org/wiki/The_Adventures_of_Sherlock_Holmes
"The Adventures of Tom Sawyer (1876),", Mark Twain,Tom Sawyer,1907,/wiki/Tom_Sawyer_(1907_film)
"The Adventures of Tom Sawyer (1876),", Mark Twain,The Adventures of Tom Sawyer,1938,/wiki/The_Adventures_of_Tom_Sawyer_(1938_film)
"Advise and Consent (1959),", Allen Drury,Advise & Consent,1962,https://www.imdb.com/title/tt0055728/
"Aelita (1923) (a. k. a. Aelita or, The Decline of Mars),", Alexei Tolstoy,Aelita,1924,https://www.imdb.com/title/tt0014646/
"The African Queen (1935),", C. S. Forester,The African Queen,1951,
"Afer (2017),", Anna Todd,After,2019,
"After Dark, My Sweet (1955),", Jim Thompson,After Dark,,
"After Dark, My Sweet (1955),", Jim Thompson,My Sweet,1990,https://www.imdb.com/title/tt0244072/
"After Hours (1979),", Edwin Torres,Carlito's Way,1993,https://www.imdb.com/title/tt0106519/
"After the Funeral (1953),", Agatha Christie,Murder at the Gallop,1963,https://www.imdb.com/title/tt0057334/
"The Age of Innocence (1921),", Edith Wharton,The Age of Innocence,1924,/wiki/The_Age_of_Innocence_(1993_film)
"The Agony and the Ecstasy (1961),", Irving Stone,The Agony and the Ecstasy,1965,
"Aimez-vous Brahms? (1959),", Françoise Sagan,Goodbye Again,1961,
"Aimez-vous Brahms? (1959),", Françoise Sagan,Jahan Tum Le Chalo,1999,https://www.imdb.com/title/tt0439641/
"Air America (1985),", Christopher Robbins,Air America,1990,
"Airborn (2004),", Kenneth Oppel,Airborn,2012,
"Airport (1968),", Arthur Hailey,Airport,1970,
"Airport (1968),", Arthur Hailey,Airport 1975,1975,https://www.imdb.com/title/tt0071110/
"Airport (1968),", Arthur Hailey,Airport '77,1977,https://www.imdb.com/title/tt0075648/
"Airport (1968),", Arthur Hailey,The Concorde ... Airport '79,1979,https://www.imdb.com/title/tt0078740/
"Alice Adams (1921),", Booth Tarkington,Alice Adams,1923,
"Allan Quatermain (1887),", Sir H. Rider Haggard,Allan Quatermain and the Lost City of Gold,1987,https://www.imdb.com/title/tt0092534/
"All Fall Down (1960),", James Leo Herlihy,All Fall Down,1962,/wiki/All_Fall_Down_(Herlihy_novel)
"All the Brothers Were Valiant (1919),", Ben Ames Williams,All the Brothers Were Valiant,1923,https://www.imdb.com/title/tt0045494/
"All the Brothers Were Valiant (1919),", Ben Ames Williams,Across to Singapore,1928,https://www.imdb.com/title/tt0018618/
"All the King's Men (1946),", Robert Penn Warren,All the King's Men,1949,/wiki/All_the_King%27s_Men_(1949_film)
"All the Pretty Horses (1992),", Cormac McCarthy,All the Pretty Horses,2000,
"All the Way (2001),", Andy Behrens,Sex Drive,2008,
"All You Need Is Kill (2009),", Hiroshi Sakurazaka,Edge of Tomorrow,2014,https://www.imdb.com/title/tt1631867/
"Almayer's Folly (1895),", Joseph Conrad,Hanyut,2011,/wiki/Hanyut_(film)
"Almayer's Folly (1895),", Joseph Conrad,Almayer's Folly,2011,https://librivox.org/search?title=Almayer's+Folly&author=Conrad&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"Along Came a Spider (1993),", James Patterson,Along Came a Spider,2001,
"Altered States (1978),", Paddy Chayefsky,Altered States,1980,https://archive.org/details/alteredstatesaut00russ
"Always Another Dawn (1948),", Zelma Roberts,Always Another Dawn,1948,https://www.imdb.com/title/tt0039147/
"Always Outnumbered, Always Outgunned (1987),", Walter Mosley,Always Outnumbered,1998,https://www.imdb.com/title/tt0146425/
"El Amante Bilingüe (The Bilingual Lover) (1990),", Juan Marsé,El Amante Bilingüe,1993,https://www.imdb.com/title/tt0106251/
"El Amateur (The Amateur) (1990),", Mauricio Dayub,El Amateur,1999,https://www.imdb.com/title/tt0202223/
"An American Dream (1965),", Norman Mailer,An American Dream,1966,
"American Knees (1995),", Shawn Wong,Americanese,2006,https://www.imdb.com/title/tt0402763/
"American Psycho (1991),", Bret Easton Ellis,American Psycho,2000,//openlibrary.org/books/OL1857983M
"American Psycho (1991),", Bret Easton Ellis,American Psycho 2: All-American Girl,2002,
"American Splendor (1976–2008),", Harvey Pekar,American Splendor,2003,
"An American Tragedy (1925),", Theodore Dreiser,A Place in the Sun,1951,
"The Americanization of Emily (1959),", William Bradford Huie,The Americanization of Emily,1964,https://www.imdb.com/title/tt0057840/
"Amerika (1927),", Franz Kafka,Intervista,1987,https://www.imdb.com/title/tt0093267/
"Amerika (1927),", Franz Kafka,Amerika,1994,
"Les amitiés particulières (This Special Friendship) (1943),", Roger Peyrefitte,Les amitiés particulières,1964,//openlibrary.org/works/OL2434576W
"The Amityville Horror (1977),", Jay Anson,The Amityville Horror,1979,/wiki/The_Amityville_Horror_(1979_film)
"El Amor infiel (The Unfaithful Love) (1970),", Mario David,El Amor infiel,1974,https://www.imdb.com/title/tt0190966/
"Amos Judd (1895),", John Ames Mitchell,The Young Rajah,1922,https://www.imdb.com/title/tt0013802/
"Amu (2005),", Shonali Bose,Amu,2005,
"La Anam (Sleepless) (1969),", Ihsan Abdel Quddous,La Anam,1957,
"Anatomy of a Murder (1958),", John D. Voelker (as Robert Traver),Anatomy of a Murder,1959,https://www.imdb.com/title/tt0052561/
"And Now Tomorrow (1942),", Rachel Field,And Now Tomorrow,1944,https://www.imdb.com/title/tt0036599/
"And Then There Were None (1939),", Agatha Christie,And Then There Were None,1945,/wiki/And_Then_There_Were_None_(1974_film)
"And Then There Were None (1939),", Agatha Christie,Ten Little Indians,1959,/wiki/Ten_Little_Indians_(1965_film)
"And Then There Were None (1939),", Agatha Christie,Gumnaam,1965,https://www.imdb.com/title/tt0247394/
"And Then There Were None (1939),", Agatha Christie,Zehn kleine Negerlein,1969,
"And Then There Were None (1939),", Agatha Christie,Desyat Negrityat,1987,https://www.imdb.com/title/tt0092879/
"And Then There Were None (1939),", Agatha Christie,Identity,2003,
"The Anderson Tapes (1969),", Lawrence Sanders,The Anderson Tapes,1971,https://www.imdb.com/title/tt0066767/
"Andromeda: A Space-Age Tale (1957),", Ivan Yefremov,The Andromeda Nebula,1967,https://www.imdb.com/title/tt0278781/
"The Andromeda Strain (1969),", Michael Crichton,The Andromeda Strain,1971,http://www.isfdb.org/cgi-bin/title.cgi?6349
"Angel (1957),", Elizabeth Taylor,Angel,2007,
"Angel Square (1987),", Brian Doyle,Angel Square,1990,https://www.imdb.com/title/tt0101348/
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Angélique,,
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Marquise des Anges,1964,
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Marvelous Angelique,1965,https://www.imdb.com/title/tt0058343/
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Angelique and the King,1966,https://www.imdb.com/title/tt0058909/
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Untamable Angelique,1967,https://www.imdb.com/title/tt0061819/
Angélique (1957–2012) (series), Anne Golon and Serge Golon,Angelique and the Sultan,1968,https://www.imdb.com/title/tt0061357/
"Angels & Demons (2000),", Dan Brown,Angels & Demons,2009,/wiki/Angels_%26_Demons_(film)
"Anglo-Saxon Attitudes (1956),", Angus Wilson,Anglo-Saxon Attitudes,1992,https://www.imdb.com/title/tt0204136/
"The Angry Hills (1955),", Leon Uris,The Angry Hills,1959,
"Die Angst des Tormanns beim Elfmeter (The Goalkeeper's Fear of the Penalty) (1970),", Peter Handke,The Goalkeeper's Fear of the Penalty,1972,https://www.imdb.com/title/tt0066773/
"Un animal doué de raison (A Sentient Animal) (1967),", Robert Merle,The Day of the Dolphin,1973,https://www.imdb.com/title/tt0069946/
"Animal Farm (1945),", George Orwell,Animal Farm,1954,/wiki/Animal_Farm_(1954_film)
"Anna and the King of Siam (1944),", Margaret Landon,Anna and the King of Siam,1946,
"Anna and the King of Siam (1944),", Margaret Landon,The King and I,1956,https://www.ibdb.com/broadway-production/1935
"Anna and the King of Siam (1944),", Margaret Landon,Anna and the King,1999,https://www.imdb.com/title/tt0166485/
"Anna Karenina (1873–1887) (serial),  (1888) (novel)",Leo Tolstoy,Anna Karenina,1914,/wiki/Anna_Karenina_(1977_TV_serial)
"Anna Karenina (1873–1887) (serial),  (1888) (novel)",Leo Tolstoy,Love,1927,/wiki/Category:Love
"Anna to the Infinite Power (1979),", Mildred Ames,Anna to the Infinite Power,1983,https://www.imdb.com/title/tt0085169/
"Anne of Avonlea (1909),", Lucy Maud Montgomery,Anne of Avonlea,1975,https://fadedpage.com/showbook.php?pid=20150137
"Anne of Green Gables (1908),", Lucy Maud Montgomery,Anne of Green Gables,1919,/wiki/Anne_of_Green_Gables_(1919_film)
"Anne of Green Gables (1908),", Lucy Maud Montgomery,Anne of Windy Poplars,1940,https://fadedpage.com/showbook.php?pid=20100608
"Anne of Green Gables (1908),", Lucy Maud Montgomery,Anne of Green Gables: The Continuing Story,2000,https://www.imdb.com/title/tt0158466/
"Anne of Green Gables (1908),", Lucy Maud Montgomery,Anne of Green Gables: A New Beginning,2009,https://www.imdb.com/title/tt1063034/
"Annihilation (2014),", Jeff VanderMeer,Annihilation,2018,
"The Antagonists (1971),", Ernest K. Gann,Masada,1987,/wiki/Masada_(miniseries)
"Anthony Adverse (1933),", Hervey Allen,Anthony Adverse,1936,https://www.imdb.com/title/tt0027300/
"Antikiller (Антикиллер) (1999),", Daniil Koretsky,Antikiller,2002,https://www.imdb.com/title/tt0325005/
"Antonieta (1978),", Andrés Henestrosa,Antonieta,1982,https://www.imdb.com/title/tt0083567/
"Apache Rising (1957),", Marvin H. Albert,Duel at Diablo,1966,https://www.tcm.com/tcmdb/title/17520/enwp
"A Job for Jenny (1945) (a. k. a. A Job for Jenny),", Faith Baldwin,Apartment for Peggy,1948,https://www.imdb.com/title/tt0040104/
"The Apocalypse Watch (1995),", Robert Ludlum,The Apocalypse Watch,1997,https://www.imdb.com/title/tt0120027/
"The Apple Dumpling Gang (1971),", Jack Bickham,The Apple Dumpling Gang,1975,
"The Apple Dumpling Gang (1971),", Jack Bickham,The Apple Dumpling Gang Rides Again,1979,https://www.imdb.com/title/tt0078790/
"The Apple Dumpling Gang (1971),", Jack Bickham,Tales from the Apple Dumpling Gang,1982,
"Appointment with Death (1938),", Agatha Christie,Appointment with Death,1988,http://www.agathachristie.com/stories/appointment-with-death
"Appointment with Venus (1951),", Jerrard Tickell,Appointment with Venus,1951,/wiki/Appointment_with_Venus_(film)
"The Apprenticeship of Duddy Kravitz (1959),", Mordecai Richler,The Apprenticeship of Duddy Kravitz,1974,
"Armageddon 2419 A.D. (1928),", Philip Francis Nowlan,Buck Rogers,1939,https://curlie.org/Arts/Television/Programs/Science_Fiction_and_Fantasy/B/Buck_Rogers_in_the_25th_Century/
"Armageddon 2419 A.D. (1928),", Philip Francis Nowlan,Buck Rogers in the 25th Century,1979,
"Arouse and Beware (1936),", MacKinlay Kantor,The Man from Dakota,1940,
"Arrowsmith (1925),", Sinclair Lewis,Arrowsmith,1931,
"Ascenseur pour l'échafaud (Lift to the Scaffold) (1951),", Noël Calef,Elevator to the Gallows,1958,https://www.imdb.com/title/tt0051378/
"Ask the Dust (1939),", John Fante,Ask the Dust,2006,https://web.archive.org/web/20090107085036/http://californialegacy.org/radio_anthology/scripts/fante.html
"Asking for Trouble (2001),", Elizabeth Young,The Wedding Date,2005,https://www.imdb.com/title/tt0372532/
"The Asphalt Jungle (1949),", W. R. Burnett,The Asphalt Jungle,1950,https://catalog.afi.com/Catalog/moviedetails/26211
"The Asphalt Jungle (1949),", W. R. Burnett,The Badlanders,1959,https://www.tcm.com/tcmdb/title/2759/enwp
"The Assassination Bureau, Ltd (1963),", Jack London,The Assassination Bureau,1969,https://www.imdb.com/title/tt0064045/
"The Assassination of Jesse James by the Coward Robert Ford (1983),", Ron Hansen,The Assassination of Jesse James by the Coward Robert Ford,2007,https://www.imdb.com/title/tt0443680/
"L'Assommoir (1877),", Émile Zola,Gervaise,1956,
"Assunta Spina (1908),", Salvatore Di Giacomo,Assunta Spina,1915,
"The Astronauts (1961),", Stanisław Lem,First Spaceship on Venus,1960,https://www.imdb.com/title/tt0053250/
"Asylum (1996),", Patrick McGrath,Asylum,2005,/wiki/Asylum_(Disturbed_album)
"At Play in the Fields of the Lord (1965),", Peter Matthiessen,At Play in the Fields of the Lord,1991,https://catalog.afi.com/Catalog/moviedetails/58759
"At the Earth's Core (1914) (serial), (1922) (novel)", Edgar Rice Burroughs,At the Earth's Core,1976,
"At the Earth's Core (1914) (serial), (1922) (novel)", Edgar Rice Burroughs,Journey to the Center of the Earth,2008,/wiki/Journey_to_the_Center_of_the_Earth_(1959_film)
"Atlantis (1912),", Gerhart Hauptmann,Atlantis,1913,/wiki/Category:Atlantis
"Atonement (2001),", Ian McEwan,Atonement,2007,/wiki/Category:Atonement
"Audrey Rose (1975),", Frank De Felitta,Audrey Rose,1977,
"The Auction Block (1914),", Rex Beach,The Auction Block,1917,https://www.imdb.com/title/tt0016616/
"Auntie Mame (1955),", Patrick Dennis,Auntie Mame,1958,https://www.ibdb.com/broadway-show/1747
"Avalon High (2005),", Meg Cabot,Avalon High,2010,http://tv.disney.go.com/disneychannel/originalmovies/avalonhigh/
"The Aviator (1981),", Ernest K. Gann,The Aviator,1985,
"Away All Boats (1953),", Kenneth M. Dodson,Away All Boats,1956,https://www.imdb.com/title/tt0048971/
"The Ax (1997),", Donald E. Westlake,Le Couperet,2005,
"Ayat-Ayat Cinta (The Verses of Love) (2005),", Habiburrahman El Shirazy,Ayat-Ayat Cinta,2008,
"Baby Love (1968),", Tina Chad Christian,Baby Love,1968,
"Babylon Babies (1999),", Maurice Georges Dantec,Babylon A.D.,2008,https://www.imdb.com/title/tt0364970/
"Back Street (1931),", Fannie Hurst,Back Street,1932,
"Back When We Were Grownups (2001),", Anne Tyler,Back When We Were Grownups,2004,
"Background to Danger (1937) (a. k. a. Uncommon Danger),", Eric Ambler,Background to Danger,1943,https://www.imdb.com/title/tt0035659/
"Bad Girl (1928),", Viña Delmar,Bad Girl,1931,
"The Bad Seed (1954),", William March (novel),The Bad Seed,1956,/wiki/The_Bad_Seed_(play)
"Baise-moi(1999),", Virginie Despentes,Baise-moi,2000,https://www.imdb.com/title/tt0249380/
"The Bait (1968),", Dorothy Uhnak,The Bait,1973,
"The Ballad of Cat Ballou (1956),", Roy Chanslor,Cat Ballou,1965,https://catalog.afi.com/Catalog/moviedetails/23121
"The Ballad of the Flim-Flam Man (1965),", Guy Owen,The Flim-Flam Man,1967,https://www.imdb.com/title/tt0061678/
"The Ballad of the Running Man (1963),", Shelley Smith,The Running Man,1963,
"Balzac et la petite tailleuse chinoise (Balzac and the Little Chinese Seamstress) (2000),", Dai Sijie,Balzac and the Little Chinese Seamstress,2002,
"Band of Angels (1955),", Robert Penn Warren,Band of Angels,1957,https://www.imdb.com/title/tt0050166/
"Bank Shot (1972),", Donald E. Westlake,Bank Shot,1974,https://www.imdb.com/title/tt0071194/
"Banner in the Sky (1900),", James Ramsey Ullman,Third Man on the Mountain,1959,https://www.imdb.com/title/tt0053352/
"The Barefoot Mailman (1943),", Theodore Pratt,The Barefoot Mailman,1951,https://www.imdb.com/title/tt0043319/
"Basil of Baker Street (1958),", Eve Titus,The Great Mouse Detective,1986,https://www.allmovie.com/movie/v20735
"Bastard Out of Carolina (1992),", Dorothy Allison,Bastard Out of Carolina,1996,
"Battle Cry (1953),", Leon Uris,Battle Cry,1955,
"The Battle of the Villa Fiorita (1963),", Rumer Godden,The Battle of the Villa Fiorita,1965,https://www.imdb.com/title/tt0058949/
"Battle Royale (1999),", Koushun Takami,Battle Royale,2000,
"Battle Royale (1999),", Koushun Takami,Battle Royale II: Requiem,2003,https://www.imdb.com/title/tt0338763/
"Battlefield Earth (1982),", L. Ron Hubbard,Battlefield Earth,2000,
"Be Cool (1999),", Elmore Leonard,Be Cool,2005,https://www.imdb.com/title/tt0377471/
"Be Ready with Bells and Drums (1961),", Elizabeth Kata,A Patch of Blue,1965,https://catalog.afi.com/Catalog/moviedetails/22891
"Be Still, My Love (1947),", June Truesdell,The Accused,1949,
"The Beach (1996),", Alex Garland,The Beach,2000,
"Beaches (1985),", Iris Rainer Dart,Beaches,1988,/wiki/Category:Beaches
"The Beardless Warriors (1960),", Richard Matheson,The Young Warriors,1967,
"The Beast (1991),", Peter Benchley,The Beast,1996,
"The Beast Master (1959),", Andre Norton,The Beastmaster,1982,https://www.imdb.com/title/tt0083630/
"The Beast Master (1959),", Andre Norton,Beastmaster 2: Through the Portal of Time,1991,https://www.imdb.com/title/tt0101412/
"The Beast Master (1959),", Andre Norton,Beastmaster III: The Eye of Braxus,1996,https://www.imdb.com/title/tt0112469/
"The Beast Must Die (1938),", Cecil Day-Lewis (as Nicholas Blake),La Bestia debe morir,1952,
"The Beast Within (1981),", Edward Levy,The Beast Within,1982,https://catalog.afi.com/Catalog/moviedetails/56729
"Beat the Devil (1951),", Claud Cockburn (as James Helvick),Beat the Devil,1953,/wiki/The_Hire#Beat_the_Devil
"Beau Brocade (1907),", Baroness Emmuska Orczy,Beau Brocade,1916,https://fadedpage.com/showbook.php?pid=20160414
"Beau Geste (1924),", P. C. Wren,Beau Geste,1926,/wiki/Beau_Geste_(1926_film)
"Beau Geste (1924),", P. C. Wren,Beau Hunks,1931,https://www.imdb.com/title/tt0021646/
"Beau Geste (1924),", P. C. Wren,Follow That Camel,1967,https://www.imdb.com/title/tt0061680/
"Beau Geste (1924),", P. C. Wren,The Last Remake of Beau Geste,1977,https://www.imdb.com/title/tt0076297/
"Beautiful Creatures (2009),", Kami Garcia and Margaret Stohl,Beautiful Creatures,2013,
"Bedelia (1945),", Vera Caspary,Bedelia,1946,
"Bee Season (2000),", Myla Goldberg,Bee Season,2005,
"Beer and Blood: The Story of a Couple o' Wrong Guys (1930),", John Bright and Kubec Glasmon,The Public Enemy,1931,https://www.imdb.com/title/tt0022286/
"Before the Fact (1932),", Anthony Berkeley (as Francis Iles),Suspicion,1941,
"Behind That Curtain (1928),", Earl Derr Biggers,Behind That Curtain,1929,https://fadedpage.com/showbook.php?pid=20120507
"Being There (1971),", Jerzy Kosinski,Being There,1979,https://www.imdb.com/title/tt0078841/
"Bel Ami (1885),", Guy de Maupassant,Bel Ami,1939,/wiki/Bel_Ami_(1939_film)
"Bel Ami (1885),", Guy de Maupassant,The Private Affairs of Bel Ami,1947,https://www.imdb.com/title/tt0039735/
"Belle de Jour (1928),", Joseph Kessel,Belle de Jour,1967,
"Belli Moda (Silver Cloud) (1961),", Anasuya Shankar,Belli Moda,1966,https://www.imdb.com/title/tt0231246/
"Bellman and True (1975),", Desmond Lowden,Bellman and True,1987,https://www.imdb.com/title/tt0092636/
"Bellman and True (1975),", Desmond Lowden,The Real McCoy,1993,
"Beloved (1987),", Toni Morrison,Beloved,1998,
"Belphégor (1927),", Arthur Bernède,Belphégor - Le fantôme du Louvre,2001,
"Ben-Hur: A Tale of the Christ (1880),", Lew Wallace,Ben Hur,1907,
"Ben-Hur: A Tale of the Christ (1880),", Lew Wallace,Ben-Hur,1925,
"Benjamin Blake (1941),", Edison Marshall,Son of Fury: The Story of Benjamin Blake,1942,https://www.imdb.com/title/tt0035360/
"Benjamin Blake (1941),", Edison Marshall,Treasure of the Golden Condor,1953,https://www.imdb.com/title/tt0046457/
"Benzina (Gasoline) (1998),", Elena Stancanelli,Gasoline,2001,
"Beowulf (Eighth to Eleventh Century),", unknown,Beowulf,2007,https://standardebooks.org/ebooks/anonymous/beowulf/john-lesslie-hall
"Berlin Alexanderplatz (1929),", Alfred Döblin,Berlin — Alexanderplatz,1931,
"Berlin Alexanderplatz (1929),", Alfred Döblin,Berlin Alexanderplatz,1980,
"La Bête humaine (1890),", Émile Zola,Die Bestie im Menschen,1920,
"La Bête humaine (1890),", Émile Zola,La Bête Humaine,1938,https://www.gutenberg.org/ebooks/5154
"La Bête humaine (1890),", Émile Zola,Human Desire,1954,https://www.imdb.com/title/tt0047101/
"La Bête humaine (1890),", Émile Zola,La Bestia humana,1954,https://www.imdb.com/title/tt0201478/
"La Bête humaine (1890),", Émile Zola,Cruel Train,1995,https://www.imdb.com/title/tt0174564/
"The Betsy (1971),", Harold Robbins,The Betsy,1978,https://www.imdb.com/title/tt0077228/
"Beyond the Forest: The Story of a Man and Woman Destroyed by Love (1948),", Stuart D. Engstrand,Beyond the Forest,1949,https://www.imdb.com/title/tt0041172/
"Beyond This Place (1953),", A. J. Cronin,Beyond This Place,1955,/wiki/Beyond_This_Place_(1957_TV_show)
"Beyond This Place (1953),", A. J. Cronin,Kala Pani,1958,
"Beyond This Place (1953),", A. J. Cronin,Web of Evidence,1959,https://www.imdb.com/title/tt0052623/
"Beyond This Place (1953),", A. J. Cronin,Poola Rangadu,1967,https://www.imdb.com/title/tt0263879/
"The BFG (1982),", Roald Dahl,The BFG,1989,/wiki/The_BFG_(1989_film)
"Bhowani Junction (1954),", John Masters,Bhowani Junction,1956,
"Bid Time Return (1975),", Richard Matheson,Somewhere in Time,1980,
"The Beginning and the End (بداية ونهاية, Bidaya wa Nihaya) (1960),", Naguib Mahfouz,Bidaya wa Nihaya,1960,
"The Big Bounce (1966) (written) (1969) (published),", Elmore Leonard,The Big Bounce,1969,
"The Big Clock (1946),", Kenneth Fearing,The Big Clock,1948,https://fadedpage.com/showbook.php?pid=20130830
"The Big Clock (1946),", Kenneth Fearing,No Way Out,1987,
"Big Fish: A Novel of Mythic Proportions (1998),", Daniel Wallace,Big Fish,2003,https://www.imdb.com/title/tt0319061/
"The Big Fisherman (1948),", Lloyd C. Douglas,The Big Fisherman,1959,https://catalog.afi.com/Catalog/moviedetails/52830
"The Big Heat (1952),", William P. McGivern,The Big Heat,1953,https://catalog.afi.com/Catalog/moviedetails/50761
"Big Red (1945),", Jim Kjelgaard,Big Red,1962,
"The Big Sleep (1939),", Raymond Chandler,The Big Sleep,1946,/wiki/The_Big_Sleep_(1946_film)
"The Big Sleep (1939),", Raymond Chandler,The Big Lebowski,1998,https://www.imdb.com/title/tt0118715/
"Big Trouble (1999),", Dave Barry,Big Trouble,2002,
Biggles (1932–1968) (series), W. E. Johns,Biggles: Adventures in Time,1986,
Biggles (1932–1968) (series), W. E. Johns,It Couldn't Happen Here,1988,https://www.imdb.com/title/tt0093284/
"Billion-Dollar Brain (1966),", Len Deighton,Billion Dollar Brain,1967,https://www.imdb.com/title/tt0061405/
"Billy Bathgate (1989),", E. L. Doctorow,Billy Bathgate,1991,https://www.imdb.com/title/tt0101453/
"Billy Liar (1969),", Keith Waterhouse,Billy Liar,1963,/wiki/Billy_Liar_(band)
"The Birds (1952),", Daphne du Maurier,The Birds,1963,
